2025-04-18 17:23:58.485466 | BATCH-ENCRYPT | ../FileEncSam/sample.txt | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/sample.txt.enc
2025-04-18 17:23:58.561745 | BATCH-ENCRYPT | ../FileEncSam/sample2.txt | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/sample2.txt.enc
2025-04-18 17:25:17.893400 | ENCRYPT_ARCHIVE | ../FileEncSam | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/FileEncSam.zip.enc
2025-04-18 17:25:36.064283 | DECRYPT_ARCHIVE | FileEncSam.zip.enc | aes-cbc | success | decrypted_FileEncSam.zip
2025-04-18 17:26:59.777947 | DECRYPT_ARCHIVE | FileEncSam.zip.enc | aes-cbc | success | decrypted_FileEncSam.zip
2025-04-18 17:30:36.489971 | DECRYPT_ARCHIVE | FileEncSam.zip.enc | aes-cbc | success | decrypted_FileEncSam.zip
2025-04-18 17:33:24.210859 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/Devraj_print.pdf.enc
2025-04-18 17:33:38.661715 | DECRYPT | Devraj_print.pdf.enc | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/decrypted_Devraj_print.pdf
2025-04-18 17:36:20.080344 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/Devraj_print.pdf.enc
2025-04-18 17:36:31.006812 | DECRYPT | Devraj_print.pdf.enc | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/decrypted_Devraj_print.pdf
2025-04-18 17:36:52.535368 | ENCRYPT_ARCHIVE | ../FileEncSam | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/FileEncSam.zip.enc
2025-04-18 17:37:07.538026 | DECRYPT_ARCHIVE | FileEncSam.zip.enc | aes-cbc | success | decrypted_FileEncSam.zip
